enviroment,algorithm,learning_rate,batch_size,hidden_units,num_layers,steps,max_steps,ram_gb,cpu_cores,time_horizon,buffer_size,beta,epsilon,lambd,num_epoch,training_duration_seconds,peak_ram_mb,summary_freq,os,gpu_available,gpu,gpu_memory_gb,final_mean_reward
Pyramids,ppo,0.0007121685162072,2048,501,4,3787126,3787126,63.7791481018066,28,512,10240,0.0054070183777218,0.154869973793662,0.962458630296796,7.0,19.9910463999986,1169.7265625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0
Worm,ppo,0.0007235450677112,512,505,3,349600,339099,63.7791481018066,28,256,4096,0.0017933600323313,0.112376433274402,0.977981547526729,5.0,131.968236600002,1198.1484375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.532512510195375
Worm,ppo,0.0002285978273652,512,290,5,359600,359004,63.7791481018066,28,256,10240,0.0045056756862986,0.261704395634133,0.974509180290512,5.0,150.9624559,1206.8125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,2.66601682179607
Worm,ppo,0.0007337506427073,2048,513,5,461680,457307,63.7791481018066,28,512,4096,0.00593532886501,0.234228756412487,0.92358431916039,9.0,222.433721400001,1281.29296875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,5.41788039853175
Worm,ppo,0.0002371764722214,2048,213,1,311200,309815,63.7791481018066,28,512,10240,0.0013271052070303,0.263474860569336,0.932781005328839,6.0,111.583390699998,1274.8984375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0
Worm,ppo,0.000531940142056,128,241,1,265120,264565,63.7791481018066,28,128,2048,0.0025959705701765,0.172104283007886,0.921131114156239,9.0,186.542939300001,1141.91796875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.512528197676724
Worm,ppo,0.0006813513723697,256,476,2,326320,325634,63.7791481018066,28,512,8192,0.0086334851707911,0.285187395505723,0.941564684758988,8.0,181.346357300001,1282.546875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.785931348800659
Worm,ppo,0.0004991668983091,256,273,5,276000,275565,63.7791481018066,28,64,8192,0.003853876454929,0.189457447545245,0.92021458115452,7.0,153.756473499998,1139.3046875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.83138265497654
Worm,ppo,0.0003295419938124,64,984,1,302880,302340,63.7791481018066,28,64,10240,0.0056840595122462,0.270330754968246,0.970230039383692,3.0,149.023822200001,1145.91796875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.40997903484385
Worm,ppo,0.0002294875758101,1024,413,2,355840,352735,63.7791481018066,28,512,10240,0.0030419208341276,0.13075867233796,0.989426306136265,5.0,134.885636000003,1288.7890625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.456857844061839
Worm,ppo,0.0001069722954995,512,142,1,461520,461301,63.7791481018066,28,64,4096,0.0010551511388486,0.226890106446403,0.920338947411429,7.0,192.363353799999,1111.1484375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0865683568641543
